Date,US_EQ,EU_EQ,JP_EQ,CN_EQ,UST_10Y,BUND_10Y,JGB_10Y,CGB_10Y,USD,EUR,OIL,GOLD
2015-01-05,-0.382457,0.490958,1.359708,-0.756300,2.058127,1.070270,1.793472,1.660077,-1.455621,1.420080,0.184376,1.213279
2015-01-12,0.529186,0.270766,0.551316,-0.736332,1.522174,0.727170,1.194134,0.495219,1.611527,-2.447298,-1.485043,0.471254
2015-01-19,-1.488124,-0.263557,-0.143142,-0.990140,1.830176,0.836807,0.605182,1.782636,0.734098,-0.777754,0.245721,-0.374153
2015-01-26,0.134478,-0.821161,-0.009151,-1.154916,1.638600,1.379037,0.751367,1.251672,1.392214,-0.301840,0.851293,1.387681
2015-02-02,1.923373,0.866316,1.298984,1.855165,-0.391106,-0.108175,0.023421,0.065310,0.680434,-1.284053,-0.208664,-1.228988
2015-02-09,0.641405,-0.411272,0.510508,0.646557,1.787281,-0.657468,-0.215600,-0.835489,-1.350953,0.645813,-1.596507,-1.255020
2015-02-16,-1.263997,0.332624,-0.020609,0.879148,-0.810730,0.476917,-1.982372,-1.017205,1.093577,-1.307042,-1.010971,-0.532874
2015-02-23,-1.246536,0.807205,-0.416887,-0.444852,-1.896350,-2.105733,-0.973478,0.330756,-0.524913,-0.126352,-1.482221,-0.065415
2015-03-02,-1.778992,-0.355560,-0.254432,-1.298893,-1.038928,0.249339,0.076344,0.353412,-0.488393,0.664312,-1.113237,0.284225
2015-03-09,-0.740995,-0.465268,-0.595970,-1.497721,-0.060853,1.021198,0.257554,-0.826163,-0.631471,-1.518100,-2.235943,-1.722310
2015-03-16,0.483876,-1.313482,-0.514012,0.184825,-0.011674,-0.490582,1.363150,0.459085,0.214222,0.414380,-0.771573,-1.664299
2015-03-23,0.005609,-0.862655,-0.545242,-0.105400,-2.038613,-0.650756,-0.467290,-0.450257,-0.250638,0.158158,-0.546644,-0.402378
2015-03-30,0.054556,-0.988284,-0.609978,-0.341184,-0.429438,-1.727958,-1.306853,-0.667633,-0.224986,-0.221022,1.369650,0.072063
2015-04-06,-0.108813,0.647312,1.282597,-0.398552,1.382374,-0.216517,-0.121695,0.725087,-1.133828,1.825594,-1.476151,-1.320357
2015-04-13,-0.800159,-0.214487,-0.247881,-1.234896,0.197519,-1.341755,0.017398,-1.428960,-1.399002,0.020779,0.630319,-0.189004
2015-04-20,-0.152078,-0.612194,-0.010439,-1.429097,-0.126101,-1.635215,-0.276585,-0.032909,1.049311,-0.429000,0.417539,-0.171581
2015-04-27,1.442304,0.544691,-0.894663,-1.879338,0.321345,0.807640,1.312289,-0.394362,0.635247,-2.160331,0.905005,-1.719733
2015-05-04,-0.102957,-0.084293,1.070665,-0.641210,0.900913,1.415796,1.772427,0.955790,0.455484,-0.707670,1.195836,0.228076
2015-05-11,-0.966132,-0.170393,-1.723975,-1.560319,0.148000,0.505109,0.549955,-0.616502,0.254530,-0.459158,1.235942,0.080280
2015-05-18,-0.194084,-1.238786,-0.794294,-0.299560,0.483678,-1.305980,-1.568048,-0.445083,0.384924,1.053131,-1.300107,-0.960221
2015-05-25,-1.885992,-0.177413,-1.196947,-1.462307,-1.407124,0.078530,-2.020449,-0.771104,-0.291229,0.632725,1.273209,-0.590568
2015-06-01,-0.088950,-0.479757,-2.722690,-1.238177,-0.624674,-1.174076,-0.917354,0.785541,1.597951,-2.373614,-1.640319,-2.148431
2015-06-08,-1.364507,-0.647119,-2.562428,-0.579984,-0.435225,-0.177912,0.433558,-0.922714,0.245118,0.467701,0.892332,-0.639216
2015-06-15,-0.230987,-0.678738,-1.426744,-3.480647,-0.751877,0.677820,1.642556,-1.548041,-1.478376,2.518453,0.301549,-1.232098
2015-06-22,-0.363353,-0.374524,-0.578432,-0.676495,-0.848758,-0.042008,0.674101,-0.255780,0.512565,0.572579,0.880191,0.371495
2015-06-29,0.607771,1.252862,0.970112,-0.160803,1.328424,-0.218585,0.477627,2.036303,0.022568,0.313103,0.963283,1.290922
2015-07-06,0.348343,1.686274,-0.630872,-0.055595,-0.964629,1.519613,-0.078331,0.910248,1.252643,-0.531609,-1.024352,-1.435229
2015-07-13,1.971733,1.178062,1.529212,0.430217,1.206144,0.584156,-2.053563,-0.476123,2.426159,-0.603603,-1.264177,-1.115461
2015-07-20,0.770307,1.953085,2.359244,1.835229,-0.249557,-0.746669,-0.376974,-1.889794,0.584950,-0.782310,0.896048,0.158782
