bank,interbank_lending,interbank_borrowing,external_assets,equity
Citigroup,102.63,135.11,2097.37,116.58
Bank of America,129.20,141.73,1670.80,99.98
JPMorgan Chase,145.67,133.03,1854.33,91.78
Morgan Stanley,65.31,79.99,984.69,74.56
Goldman Sachs,62.09,57.79,1037.91,81.48
Merrill Lynch,40.03,66.82,859.97,67.43
Wachovia,45.28,38.77,754.72,54.58
Wells Fargo,85.41,68.92,1214.60,62.64
Lehman Brothers,29.98,39.06,610.02,33.34
Bear Stearns,24.54,25.39,375.46,18.02
Barclays,132.51,115.70,2167.49,168.23
RBS,91.94,116.29,3408.05,163.23
UBS,81.50,43.25,1918.50,141.93
Credit Suisse,41.70,42.66,1058.30,60.00
Deutsche Bank,51.72,42.60,2148.28,158.38
BNP Paribas,71.43,65.25,2428.57,116.78
Societe Generale,25.62,21.15,1474.38,106.18
HSBC,91.47,94.35,2308.53,141.49
Dexia,23.86,27.22,626.14,38.73
Commerzbank,29.80,16.61,820.20,43.51
