bank,Citigroup,Bank of America,JPMorgan Chase,Morgan Stanley,Goldman Sachs,Merrill Lynch,Wachovia,Wells Fargo,Lehman Brothers,Bear Stearns,Barclays,RBS,UBS,Credit Suisse,Deutsche Bank,BNP Paribas,Societe Generale,HSBC,Dexia,Commerzbank,external_assets,equity
Citigroup,0.000,12.108,19.702,0.000,0.000,3.917,2.076,4.446,3.198,1.501,8.777,6.153,4.940,5.748,6.500,12.102,0.000,8.781,0.000,2.684,2097.37,116.58
Bank of America,12.415,0.000,29.050,0.000,8.139,5.776,3.060,6.555,4.716,2.214,12.942,0.000,0.000,0.000,9.583,17.844,0.000,12.947,0.000,3.958,1670.80,99.98
JPMorgan Chase,15.349,22.071,0.000,7.661,10.062,7.140,0.000,8.104,0.000,0.000,15.999,11.215,9.005,10.478,11.848,0.000,4.455,0.000,7.386,4.893,1854.33,91.78
Morgan Stanley,8.151,11.722,19.073,0.000,0.000,3.792,0.000,4.304,0.000,1.453,8.497,5.956,0.000,0.000,0.000,0.000,2.366,0.000,0.000,0.000,984.69,74.56
Goldman Sachs,6.531,9.392,15.281,3.260,0.000,3.038,1.610,3.448,0.000,0.000,6.808,0.000,3.832,0.000,0.000,0.000,0.000,6.811,0.000,2.082,1037.91,81.48
Merrill Lynch,5.063,7.281,0.000,2.527,3.319,0.000,0.000,2.673,1.923,0.903,5.278,3.700,0.000,3.457,3.908,0.000,0.000,0.000,0.000,0.000,859.97,67.43
Wachovia,6.646,9.557,0.000,0.000,4.357,3.092,0.000,3.509,2.524,1.185,0.000,4.856,0.000,0.000,0.000,9.552,0.000,0.000,0.000,0.000,754.72,54.58
Wells Fargo,9.114,13.105,21.324,4.549,0.000,4.240,0.000,0.000,3.462,0.000,9.500,0.000,0.000,6.222,0.000,0.000,0.000,9.504,4.385,0.000,1214.60,62.64
Lehman Brothers,3.306,4.754,7.735,0.000,2.167,0.000,0.815,0.000,0.000,0.589,0.000,2.416,0.000,0.000,0.000,4.751,0.000,3.448,0.000,0.000,610.02,33.34
Bear Stearns,2.687,3.864,6.288,1.341,1.762,0.000,0.662,1.419,1.021,0.000,2.801,0.000,0.000,1.835,0.000,0.000,0.000,0.000,0.000,0.857,375.46,18.02
Barclays,18.676,26.856,0.000,9.322,0.000,8.688,4.604,9.860,7.094,3.330,0.000,13.646,10.957,0.000,0.000,0.000,0.000,19.476,0.000,0.000,2167.49,168.23
RBS,17.949,0.000,0.000,0.000,11.767,8.350,4.424,0.000,6.817,0.000,18.710,0.000,0.000,0.000,0.000,0.000,5.210,18.718,0.000,0.000,3408.05,163.23
UBS,0.000,0.000,0.000,27.555,0.000,0.000,13.608,0.000,0.000,0.000,0.000,40.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1918.50,141.93
Credit Suisse,0.000,0.000,0.000,9.525,0.000,8.877,0.000,0.000,0.000,3.402,19.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1058.30,60.00
Deutsche Bank,7.367,10.594,0.000,0.000,0.000,3.427,1.816,0.000,0.000,1.314,0.000,5.383,0.000,0.000,0.000,10.588,0.000,7.683,3.545,0.000,2148.28,158.38
BNP Paribas,21.858,0.000,0.000,10.910,0.000,0.000,0.000,11.541,8.302,3.897,0.000,0.000,0.000,14.922,0.000,0.000,0.000,0.000,0.000,0.000,2428.57,116.78
Societe Generale,0.000,0.000,14.574,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.493,4.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1474.38,106.18
HSBC,0.000,0.000,0.000,0.000,16.219,0.000,6.099,13.063,0.000,4.411,0.000,18.078,14.515,0.000,0.000,0.000,7.181,0.000,11.905,0.000,2308.53,141.49
Dexia,0.000,0.000,0.000,3.340,0.000,3.113,0.000,0.000,0.000,1.193,0.000,0.000,0.000,0.000,5.165,0.000,1.942,6.978,0.000,2.133,626.14,38.73
Commerzbank,0.000,10.422,0.000,0.000,0.000,3.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.594,10.416,0.000,0.000,0.000,0.000,820.20,43.51
